Date,USGG10YR Index  (L3),CWB US Equity  (R1),SPX Index  (R1),I10529 Index  (R1),VIX Index  (R1)
29-03-2010,3.8643,21.6299,1173.22,130.5989,17.59
30-03-2010,3.8566,21.46,1173.27,130.6589,17.13
31-03-2010,3.8257,21.46,1169.4301,130.8139,17.59
01-04-2010,3.8685,21.4629,1178.1,130.8004,17.47
02-04-2010,3.8685,21.4629,1178.1,130.4693,17.47
05-04-2010,3.9859,21.7378,1187.4399,130.2234,17.02
06-04-2010,3.9505,21.7543,1189.4399,130.3785,16.23
07-04-2010,3.8531,21.5233,1182.45,130.8948,16.62
08-04-2010,3.8901,21.5618,1186.4399,130.8809,16.48
09-04-2010,3.8825,21.7653,1194.37,130.8909,16.14
12-04-2010,3.8417,21.7268,1196.48,131.1777,15.58
13-04-2010,3.8204,21.7488,1197.3,131.3184,16.2
14-04-2010,3.8593,22.0348,1210.65,131.2568,15.59
15-04-2010,3.8321,21.7488,1211.67,131.4183,15.89
16-04-2010,3.7626,21.7323,1192.13,131.9841,18.36
19-04-2010,3.7974,21.7763,1197.52,131.8035,17.34
20-04-2010,3.7993,21.8698,1207.1801,131.7634,15.73
21-04-2010,3.7356,21.9248,1205.95,131.9902,16.32
22-04-2010,3.7723,21.9798,1208.67,131.8191,16.47
23-04-2010,3.8092,22.0788,1217.28,131.6167,16.62
26-04-2010,3.8054,22.0843,1212.05,131.7501,17.47
27-04-2010,3.6877,21.8258,1183.71,132.3063,22.81
28-04-2010,3.7628,21.7983,1191.36,131.8493,21.08
29-04-2010,3.7243,21.9688,1206.78,132.1962,18.44
30-04-2010,3.6532,21.7488,1186.6899,132.5723,22.05
03-05-2010,3.682,21.8765,1202.26,132.2234,20.19
04-05-2010,3.5902,21.5178,1173.6,132.553,23.84
05-05-2010,3.5388,21.3246,1165.9,132.7229,24.91
06-05-2010,3.3938,20.69,1128.15,133.0321,32.8
07-05-2010,3.4255,20.1933,1110.89,132.4411,40.95
10-05-2010,3.5406,20.8886,1159.73,132.4708,28.84
11-05-2010,3.5235,20.9714,1155.79,132.2703,28.32
12-05-2010,3.571,21.286,1171.67,132.3051,25.52
13-05-2010,3.5261,21.1867,1157.4399,132.4951,26.68
14-05-2010,3.4534,20.7507,1135.6801,133.0635,31.24
17-05-2010,3.4869,20.6458,1136.9399,132.8631,30.84
18-05-2010,3.3462,20.4636,1120.8,133.2105,33.55
19-05-2010,3.3682,20.1271,1115.05,132.9522,35.32
20-05-2010,3.2126,19.7076,1071.59,133.1907,45.79
21-05-2010,3.2379,19.9725,1087.6899,133.0297,40.1
24-05-2010,3.1942,19.9725,1073.65,132.7695,38.32
25-05-2010,3.1578,19.7131,1074.03,132.6355,34.61
26-05-2010,3.1886,20.0332,1067.95,132.397,35.02
27-05-2010,3.3605,20.5299,1103.0601,132.035,29.68
28-05-2010,3.2922,20.3368,1089.41,132.3777,32.07
31-05-2010,3.2922,20.3368,1089.41,132.3777,32.07
01-06-2010,3.2591,20.1791,1070.71,132.3356,35.54
02-06-2010,3.34,20.4284,1098.38,132.0624,30.17
03-06-2010,3.3639,20.434,1102.83,132.0621,29.46
04-06-2010,3.2023,20.0794,1064.88,132.8238,35.48
07-06-2010,3.1422,19.9187,1050.47,132.8648,36.57
08-06-2010,3.1857,19.9298,1062,132.7487,33.7
09-06-2010,3.1729,19.8134,1055.6899,132.6318,33.73
10-06-2010,3.3193,20.0267,1086.84,132.087,30.57
11-06-2010,3.2346,20.2179,1091.6,132.5565,28.79
14-06-2010,3.2529,20.1065,1089.63,132.4306,28.58
15-06-2010,3.3025,20.4146,1115.23,132.2252,25.87
16-06-2010,3.2601,20.4783,1114.61,132.2935,25.92
17-06-2010,3.1887,20.3785,1116.04,132.7006,25.05
18-06-2010,3.2195,20.5946,1117.51,132.6939,23.95
21-06-2010,3.2414,20.5946,1113.2,132.8688,24.88
22-06-2010,3.1664,20.3785,1095.3101,133.1453,27.05
23-06-2010,3.119,20.3785,1092.04,133.3895,26.91
24-06-2010,3.1371,20.1569,1073.6899,133.3916,29.74
25-06-2010,3.1078,20.2954,1076.77,133.4614,28.53
28-06-2010,3.021,20.2788,1074.5699,133.8222,29
29-06-2010,2.9491,19.9466,1041.24,133.9024,34.13
30-06-2010,2.9311,19.9796,1030.71,133.7286,34.54
01-07-2010,2.947,19.9062,1027.37,133.7202,32.86
02-07-2010,2.977,19.9062,1022.58,133.6641,30.12
05-07-2010,2.977,19.9062,1022.58,133.6641,30.12
06-07-2010,2.9302,19.8729,1028.0601,133.9889,29.65
07-07-2010,2.9803,20.123,1060.27,133.9688,26.84
08-07-2010,3.0306,20.2898,1070.24,133.9668,25.71
09-07-2010,3.052,20.2809,1077.96,133.908,24.98
12-07-2010,3.0628,20.4121,1078.75,134.0704,24.43
13-07-2010,3.1208,20.579,1095.34,133.8988,24.56
14-07-2010,3.0426,20.7291,1095.17,134.2815,24.89
15-07-2010,2.9937,20.629,1096.48,134.5951,25.14
16-07-2010,2.9215,20.6735,1064.88,134.8316,26.25
19-07-2010,2.9537,20.6234,1071.25,134.8006,25.97
20-07-2010,2.9481,20.9015,1083.48,134.9453,23.93
21-07-2010,2.8782,20.7235,1069.59,135.155,25.64
22-07-2010,2.9353,20.9904,1093.67,135.1565,24.63
23-07-2010,2.9943,21.1183,1102.66,135.0516,23.47
26-07-2010,2.9924,21.224,1115.01,135.1279,22.73
27-07-2010,3.0485,21.1294,1113.84,135.1156,23.19
28-07-2010,2.985,21.1406,1106.13,135.56,24.25
29-07-2010,2.9794,20.9626,1101.53,135.7522,24.13
30-07-2010,2.9052,20.9737,1101.6,136.0151,23.5
31-07-2010,2.9052,20.9737,1101.6,136.0151,23.5
02-08-2010,2.9609,21.2475,1125.86,135.9476,22.01
03-08-2010,2.9085,21.4265,1120.46,136.4146,22.63
04-08-2010,2.9498,21.4936,1127.24,136.1702,22.21
05-08-2010,2.9011,21.4377,1125.8199,136.4467,22.1
06-08-2010,2.8166,21.3593,1121.64,136.762,21.74
09-08-2010,2.8289,21.3202,1127.79,136.6907,22.14
10-08-2010,2.7593,21.2083,1121.0601,136.9272,22.37
11-08-2010,2.6814,20.9342,1089.47,137.0271,25.39
12-08-2010,2.7455,21.0069,1083.61,136.7872,25.73
13-08-2010,2.6716,20.9174,1079.25,136.8218,26.24
16-08-2010,2.5626,20.9957,1079.38,137.1498,26.1
17-08-2010,2.6321,21.1244,1092.54,136.9841,24.33
18-08-2010,2.6321,21.2698,1094.16,137.0103,24.59
19-08-2010,2.575,21.1859,1075.63,137.2447,26.44
20-08-2010,2.6106,21.0796,1071.6899,136.9534,25.49
23-08-2010,2.5981,21.0069,1067.36,137.1084,25.66
24-08-2010,2.488,20.7607,1051.87,137.376,27.46
25-08-2010,2.534,20.8195,1055.33,137.08,26.7
26-08-2010,2.4755,20.8335,1047.22,137.1934,27.37
27-08-2010,2.6447,21.0517,1064.59,136.6599,24.45
30-08-2010,2.5285,20.7999,1048.92,137.0904,27.21
31-08-2010,2.4683,20.8838,1049.33,137.2039,26.05
01-09-2010,2.573,21.2146,1080.29,137.0006,23.89
02-09-2010,2.6231,21.3044,1090.1,137.0681,23.19
03-09-2010,2.697,21.3662,1104.51,136.8694,21.31
06-09-2010,2.697,21.3662,1104.51,136.8694,21.31
07-09-2010,2.5944,21.3549,1091.84,137.2782,23.8
08-09-2010,2.6555,21.5065,1098.87,137.1575,23.25
09-09-2010,2.7588,21.5683,1104.1801,136.773,22.81
10-09-2010,2.7917,21.4785,1109.55,136.7629,21.99
13-09-2010,2.748,21.7086,1121.9,137.2554,21.21
14-09-2010,2.679,21.7142,1121.1,137.6193,21.56
15-09-2010,2.7207,21.7648,1125.0699,137.5551,22.1
16-09-2010,2.7608,21.7816,1124.66,137.5512,21.72
17-09-2010,2.7372,21.8153,1125.59,137.6674,22.01
20-09-2010,2.7026,21.8266,1142.71,137.8334,21.5
21-09-2010,2.5727,21.7984,1139.78,138.311,22.35
22-09-2010,2.5583,21.776,1134.28,138.2719,22.51
23-09-2010,2.5511,21.6693,1124.83,138.1934,23.87
24-09-2010,2.605,21.8827,1148.67,138.0906,21.71
27-09-2010,2.5242,21.8939,1142.16,138.4927,22.54
28-09-2010,2.4653,21.9276,1147.7,138.729,22.6
29-09-2010,2.5027,21.8995,1144.73,138.6034,23.25
30-09-2010,2.5098,21.8209,1141.2,138.6062,23.7
01-10-2010,2.5097,21.9719,1146.24,138.6577,22.5
04-10-2010,2.4758,21.8028,1137.03,138.9122,23.53
05-10-2010,2.4722,22.1071,1160.75,139.0931,21.76
06-10-2010,2.3976,21.893,1159.97,139.3661,21.49
07-10-2010,2.3833,22.0676,1158.0601,139.5515,21.56
08-10-2010,2.392,22.169,1165.15,139.7282,20.71
11-10-2010,2.392,22.2254,1165.3199,139.7282,18.96
12-10-2010,2.4309,22.2479,1169.77,139.6412,18.93
13-10-2010,2.422,22.2986,1178.1,139.7838,19.07
14-10-2010,2.5076,22.5071,1173.8101,139.5361,19.88
15-10-2010,2.5597,22.3155,1176.1899,139.3874,19.03
18-10-2010,2.5075,22.1972,1184.71,139.728,19.09
19-10-2010,2.4752,22.1803,1165.9,139.8602,20.63
20-10-2010,2.4788,22.2535,1178.17,139.8659,19.79
21-10-2010,2.5452,22.293,1180.27,139.7855,19.27
22-10-2010,2.5541,22.3099,1183.08,139.7902,18.78
25-10-2010,2.5613,22.3662,1185.62,139.7851,19.85
26-10-2010,2.6393,22.3944,1185.64,139.522,20.22
27-10-2010,2.7198,22.4845,1182.45,139.3083,20.71
28-10-2010,2.6576,22.5296,1183.78,139.7715,20.88
29-10-2010,2.5993,22.5667,1183.26,139.9485,21.2
31-10-2010,2.5993,22.5667,1183.26,139.9485,21.2
01-11-2010,2.6229,22.5944,1184.39,140.09,21.83
02-11-2010,2.5866,22.6317,1193.5699,140.1569,21.57
03-11-2010,2.5702,22.6882,1197.96,140.3325,19.56
04-11-2010,2.489,22.8409,1221.0601,140.8427,18.52
05-11-2010,2.5304,23.1744,1225.85,140.629,18.26
08-11-2010,2.5502,22.92,1223.25,140.5372,18.29
09-11-2010,2.6558,23.0331,1213.4,140.0002,19.08
10-11-2010,2.6286,23.0614,1218.71,140.142,18.47
11-11-2010,2.6286,23.0161,1213.54,140.142,18.64
12-11-2010,2.7871,22.8861,1199.21,139.4452,20.61
15-11-2010,2.9593,22.8126,1197.75,138.9656,20.2
16-11-2010,2.84,22.6939,1178.34,139.0453,22.58
17-11-2010,2.8766,22.643,1178.59,139.024,21.76
18-11-2010,2.895,22.7391,1196.6899,138.9633,18.75
19-11-2010,2.8713,22.8239,1199.73,138.8434,18.04
22-11-2010,2.8019,22.7278,1197.84,139.2551,18.37
23-11-2010,2.7729,22.6147,1180.73,139.3948,20.63
24-11-2010,2.912,22.7843,1198.35,138.7556,19.56
25-11-2010,2.912,22.7843,1198.35,138.7556,19.56
26-11-2010,2.8663,22.7335,1189.4,138.8841,22.22
29-11-2010,2.8205,22.7561,1187.76,139.041,21.53
30-11-2010,2.7968,22.643,1180.55,138.9102,23.54
01-12-2010,2.9642,22.8882,1206.0699,138.1752,21.36
02-12-2010,2.9885,22.9677,1221.53,137.9744,19.39
03-12-2010,3.0055,23.0641,1224.71,138.3048,18.01
06-12-2010,2.9201,22.962,1223.12,138.7947,18.02
07-12-2010,3.1257,23.0301,1223.75,137.8794,17.99
08-12-2010,3.2723,23.1151,1228.28,137.4562,17.74
09-12-2010,3.2037,23.275,1233,137.2605,17.25
10-12-2010,3.319,23.337,1240.4,137.034,17.61
13-12-2010,3.275,23.2456,1240.46,137.37,17.55
14-12-2010,3.4727,23.1945,1241.59,136.7023,17.61
15-12-2010,3.5318,23.1378,1235.23,136.5187,17.94
16-12-2010,3.4224,23.2285,1242.87,136.7372,17.39
17-12-2010,3.3279,23.2059,1243.91,137.2803,16.11
20-12-2010,3.3358,23.342,1247.08,137.3168,16.41
21-12-2010,3.3031,23.376,1254.6,137.2995,16.49
22-12-2010,3.3458,23.4157,1258.84,137.1649,15.45
23-12-2010,3.3892,23.3646,1256.77,136.9313,16.47
24-12-2010,3.3892,23.3646,1256.77,136.9313,16.47
27-12-2010,3.3294,23.4214,1257.54,136.9954,17.67
28-12-2010,3.4795,23.3079,1258.51,136.5765,17.52
29-12-2010,3.3489,23.5416,1259.78,137.3347,17.28
30-12-2010,3.3646,23.4329,1257.88,137.1966,17.52
31-12-2010,3.2935,23.4901,1257.64,137.3264,17.75
03-01-2011,3.3324,23.5645,1271.87,137.3848,17.61
04-01-2011,3.3287,23.6675,1270.2,137.5363,17.38
05-01-2011,3.4654,23.719,1276.5601,136.9877,17.02
06-01-2011,3.3932,23.6961,1273.85,137.4161,17.4
07-01-2011,3.3237,23.695,1271.5,138.0044,17.14
10-01-2011,3.2832,23.7356,1269.75,138.1558,17.54
11-01-2011,3.3396,23.7762,1274.48,138.0195,16.89
12-01-2011,3.365,23.8449,1285.96,138.0493,16.24
13-01-2011,3.2972,23.9078,1283.76,138.3879,16.39
14-01-2011,3.3231,23.945,1293.24,138.4275,15.46
17-01-2011,3.3231,23.945,1293.24,138.4275,15.46
18-01-2011,3.3663,23.9651,1295.02,138.4468,15.87
19-01-2011,3.339,23.7247,1281.92,138.595,17.31
20-01-2011,3.4488,23.6847,1280.26,138.1299,17.99
21-01-2011,3.4042,23.7304,1283.35,138.2553,18.47
24-01-2011,3.4044,23.8563,1290.84,138.3432,17.65
25-01-2011,3.3284,23.8334,1291.1801,138.6918,17.59
26-01-2011,3.4146,23.9193,1296.63,138.4572,16.64
27-01-2011,3.3873,24.0623,1299.54,138.7553,16.15
28-01-2011,3.3214,23.7877,1276.34,138.9842,20.04
31-01-2011,3.3704,23.7476,1286.12,138.9401,19.53
01-02-2011,3.4394,24.0337,1307.59,138.6889,17.63
02-02-2011,3.4771,23.9021,1304.03,138.4124,17.3
03-02-2011,3.5488,24.0051,1307.1,138.2029,16.69
04-02-2011,3.6356,24.0509,1310.87,137.7883,15.93
07-02-2011,3.6299,24.1711,1319.05,137.9639,16.28
08-02-2011,3.7373,24.1711,1324.5699,137.5551,15.81
09-02-2011,3.6465,24.2455,1320.88,137.909,15.87
10-02-2011,3.6928,24.3313,1321.87,137.576,16.09
11-02-2011,3.6288,24.2912,1329.15,137.7165,15.69
14-02-2011,3.6194,24.3427,1332.3199,137.8773,15.95
15-02-2011,3.6044,24.3256,1328.01,138.0405,16.37
16-02-2011,3.6193,24.4686,1336.3199,138.0308,16.72
17-02-2011,3.5725,24.4515,1340.4301,138.4203,16.59
18-02-2011,3.5799,24.4915,1343.01,138.5403,16.43
21-02-2011,3.5799,24.4915,1343.01,138.5403,16.43
22-02-2011,3.4533,24.1596,1315.45,139.1089,20.8
23-02-2011,3.4848,23.9193,1307.4,138.9628,22.13
24-02-2011,3.4477,23.8849,1306.1,138.9241,21.32
25-02-2011,3.4125,24.1253,1319.88,139.0617,19.22
28-02-2011,3.4272,24.194,1327.22,139.3401,18.35
01-03-2011,3.3921,23.9832,1306.33,139.5021,21.01
02-03-2011,3.4697,24.0808,1308.4399,139.3348,20.7
03-03-2011,3.5554,24.1956,1330.97,138.7573,18.6
04-03-2011,3.49,24.1037,1321.15,139.3633,19.06
07-03-2011,3.5123,23.9659,1310.13,139.359,20.66
08-03-2011,3.5477,24.1841,1321.8199,139.2942,19.82
09-03-2011,3.4675,24.1376,1320.03,139.6296,20.22
10-03-2011,3.3584,23.765,1295.11,140.0229,21.88
11-03-2011,3.4025,23.9487,1304.28,140.0344,20.08
14-03-2011,3.3563,23.8586,1296.39,140.4135,21.13
15-03-2011,3.303,23.7248,1281.87,140.2153,24.32
16-03-2011,3.17,23.4436,1256.88,140.5685,29.4
17-03-2011,3.255,23.5928,1273.71,140.3635,26.37
18-03-2011,3.2678,23.6215,1279.21,140.3154,24.44
21-03-2011,3.3282,23.8224,1298.38,140.0515,20.61
22-03-2011,3.3263,23.7478,1293.77,140.0273,20.21
23-03-2011,3.3501,23.8741,1297.54,140.0334,19.17
24-03-2011,3.4037,24.0233,1309.66,139.743,18
25-03-2011,3.4388,23.9946,1313.8,139.4709,17.91
28-03-2011,3.4313,24.052,1310.1899,139.4538,19.44
29-03-2011,3.4872,24.1324,1319.4399,139.3164,18.16
30-03-2011,3.4349,24.2243,1328.26,139.5943,17.71
31-03-2011,3.4703,24.1956,1325.83,139.5203,17.74
01-04-2011,3.4422,24.1828,1332.41,139.4013,17.4
04-04-2011,3.4179,24.2461,1332.87,139.8293,17.5
05-04-2011,3.4795,24.4476,1332.63,139.5255,17.25
06-04-2011,3.5452,24.3555,1335.54,139.4576,16.9
07-04-2011,3.5451,24.3584,1333.51,139.749,17.11
08-04-2011,3.5772,24.2087,1328.17,139.6697,17.87
11-04-2011,3.5847,24.1482,1324.46,139.7441,16.59
12-04-2011,3.4904,24.0964,1314.16,140.1408,17.09
13-04-2011,3.4585,24.0791,1314.41,140.3429,16.92
14-04-2011,3.4979,24.1079,1314.52,140.1294,16.27
15-04-2011,3.4079,24.1022,1319.6801,140.5622,15.32
18-04-2011,3.3743,24.0676,1305.14,140.876,16.96
19-04-2011,3.3631,24.1022,1312.62,140.8921,15.83
20-04-2011,3.4077,24.3498,1330.36,140.7334,15.07
21-04-2011,3.3963,24.4246,1337.39,140.7284,14.69
22-04-2011,3.3963,24.4246,1337.39,140.7284,14.69
25-04-2011,3.3627,24.3901,1335.25,141.0466,15.77
26-04-2011,3.307,24.4851,1347.24,141.2787,15.62
27-04-2011,3.3552,24.5398,1355.66,141.248,15.35
28-04-2011,3.3106,24.5858,1360.48,141.6636,14.62
29-04-2011,3.2863,24.6204,1363.61,141.6812,14.75
30-04-2011,3.2863,24.6204,1363.61,141.6812,14.75
02-05-2011,3.2788,24.6681,1361.22,141.8414,15.99
03-05-2011,3.2473,24.5758,1356.62,141.9326,16.7
04-05-2011,3.2159,24.4085,1347.3199,142.0224,17.08
05-05-2011,3.1499,24.3335,1335.1,142.204,18.2
06-05-2011,3.1459,24.4085,1340.2,142.349,18.4
09-05-2011,3.1604,24.4374,1346.3,142.5179,17.16
10-05-2011,3.2135,24.5354,1357.16,142.2356,15.91
11-05-2011,3.1593,24.4893,1342.08,142.4625,16.95
12-05-2011,3.2225,24.5643,1348.65,142.306,16.03
13-05-2011,3.1709,24.3508,1337.77,142.4825,17.07
16-05-2011,3.147,24.2874,1329.47,142.7278,18.24
17-05-2011,3.1158,24.2931,1328.98,142.8335,17.55
18-05-2011,3.1801,24.397,1340.6801,142.5551,16.23
19-05-2011,3.1709,24.4893,1343.6,142.6767,15.52
20-05-2011,3.1451,24.3278,1333.27,142.811,17.43
23-05-2011,3.1286,24.2412,1317.37,142.8538,18.27
24-05-2011,3.1139,24.2412,1316.28,142.8559,17.82
25-05-2011,3.1304,24.2903,1320.47,142.9267,17.07
26-05-2011,3.0572,24.3393,1325.6899,143.3112,16.09
27-05-2011,3.0735,24.4201,1331.1,143.2392,15.98
30-05-2011,3.0735,24.4201,1331.1,143.2392,15.98
31-05-2011,3.0607,24.622,1345.2,143.4144,15.45
01-06-2011,2.9408,24.2954,1314.55,143.7441,18.3
02-06-2011,3.0297,24.2491,1312.9399,143.4787,18.09
03-06-2011,2.9859,24.1912,1300.16,143.6729,17.95
06-06-2011,2.995,23.7917,1286.17,143.6962,18.49
07-06-2011,2.9949,23.8496,1284.9399,143.7645,18.07
08-06-2011,2.9387,23.7164,1279.5601,144.0484,18.79
09-06-2011,2.9967,23.7685,1289,143.6805,17.77
10-06-2011,2.9693,23.5138,1270.98,143.7409,18.86
13-06-2011,2.9838,23.4848,1271.83,143.6519,19.61
14-06-2011,3.0972,23.6238,1287.87,143.1931,18.26
15-06-2011,2.9692,23.5196,1265.42,143.8498,21.32
16-06-2011,2.9274,23.3256,1267.64,143.9588,22.73
17-06-2011,2.9445,23.343,1271.5,143.8673,21.85
20-06-2011,2.958,23.4009,1278.36,143.7906,19.99
21-06-2011,2.9835,23.618,1295.52,143.7447,18.86
22-06-2011,2.9825,23.5832,1287.14,143.7823,18.52
23-06-2011,2.9116,23.6788,1283.5,144.18,19.29
24-06-2011,2.8636,23.4269,1268.45,144.4136,21.1
27-06-2011,2.9305,23.5838,1280.1,144.1177,20.56
28-06-2011,3.0308,23.7685,1296.67,143.3825,19.17
29-06-2011,3.1118,23.9307,1307.41,143.2713,17.27
30-06-2011,3.16,24.0175,1320.64,142.9794,16.52
01-07-2011,3.1823,24.2287,1339.67,142.8393,15.87
04-07-2011,3.1823,24.2287,1339.67,142.8393,15.87
05-07-2011,3.121,24.1852,1337.88,143.5059,16.06
06-07-2011,3.108,24.0662,1339.23,143.7314,16.34
07-07-2011,3.1377,24.3391,1353.22,143.3473,15.95
08-07-2011,3.0268,24.3274,1343.8,144.2725,15.95
11-07-2011,2.9189,23.9501,1319.49,144.6221,18.39
12-07-2011,2.877,23.9094,1313.64,144.5717,19.87
13-07-2011,2.8824,23.9065,1317.72,144.7415,19.91
14-07-2011,2.9534,23.7468,1308.87,144.5539,20.8
15-07-2011,2.9058,23.7585,1316.14,144.7271,19.53
18-07-2011,2.9276,23.6365,1305.4399,144.7583,20.95
19-07-2011,2.8802,23.8572,1326.73,144.6206,19.21
20-07-2011,2.9275,23.9094,1325.84,144.5579,19.09
21-07-2011,3.0136,23.9965,1343.8,144.288,17.56
22-07-2011,2.9621,24.0371,1345.02,144.525,17.52
25-07-2011,3.0006,23.9442,1337.4301,144.4504,19.35
26-07-2011,2.9529,23.9326,1331.9399,144.6939,20.23
27-07-2011,2.9803,23.5146,1304.89,144.4989,22.98
28-07-2011,2.9454,23.5204,1300.67,144.6579,23.74
29-07-2011,2.7961,23.4159,1292.28,145.2636,25.25
31-07-2011,2.7961,23.4159,1292.28,145.2636,25.25
01-08-2011,2.7437,23.3952,1286.9399,145.5381,23.66
02-08-2011,2.6114,23.0289,1254.05,145.8876,24.79
03-08-2011,2.6202,22.9068,1260.34,145.6908,23.38
04-08-2011,2.4028,22.1626,1200.0699,146.0233,31.66
05-08-2011,2.5585,21.9475,1199.38,145.2444,32
08-08-2011,2.3179,20.8719,1119.46,145.5449,48
09-08-2011,2.2488,21.4882,1172.53,146.0056,35.06
10-08-2011,2.1061,21.0289,1120.76,145.9955,42.99
11-08-2011,2.3399,21.6452,1172.64,145.4415,39
12-08-2011,2.2548,21.5987,1178.8101,145.5082,36.36
15-08-2011,2.3053,21.994,1204.49,145.1495,31.87
16-08-2011,2.2196,21.8603,1192.76,145.3067,32.85
17-08-2011,2.1652,21.7905,1193.89,145.3276,31.58
18-08-2011,2.0624,21.2091,1140.65,145.254,42.67
19-08-2011,2.0623,20.9243,1123.53,145.0044,43.05
22-08-2011,2.1058,21.0696,1123.8199,144.899,42.44
23-08-2011,2.153,21.3022,1162.35,144.6577,36.27
24-08-2011,2.2994,21.3894,1177.6,144.1049,35.9
25-08-2011,2.2286,21.308,1159.27,144.4272,39.76
26-08-2011,2.1899,21.5522,1176.8,144.4832,35.59
29-08-2011,2.2561,21.8777,1210.09,144.3505,32.28
30-08-2011,2.1767,21.8661,1212.92,144.6568,32.89
31-08-2011,2.2234,22.0696,1218.89,144.5309,31.62
01-09-2011,2.1302,21.9399,1204.42,144.7378,31.82
02-09-2011,1.9857,21.6137,1173.97,144.9021,33.92
05-09-2011,1.9857,21.6137,1173.97,144.9021,33.92
06-09-2011,1.984,21.7012,1165.24,144.7004,37
07-09-2011,2.0429,21.8413,1198.62,144.626,33.38
08-09-2011,1.9787,21.8821,1185.9,144.7865,34.32
09-09-2011,1.9183,21.5028,1154.23,144.994,38.52
12-09-2011,1.9475,21.5845,1162.27,144.4347,38.59
13-09-2011,1.9906,21.5845,1172.87,144.1825,36.91
14-09-2011,1.9837,21.7479,1188.6801,144.1612,34.6
15-09-2011,2.082,21.9755,1209.11,143.9799,31.97
